0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001112;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001111;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001112;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001111;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001112;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001111;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001111;0;0;1
0101011111;0101011111;Bjørnen;Bjørnehuse 13;00001111;0;0;1
0101011113;0101011113;Bjørnen;Bjørnehuse 13;00001111;0;0;1
1212999999;1212999999;Hvalen;Jørgen;77774321;1;1;0
